,date,state,variable,value
1438,2020-12-12,USA,deathsr,2396.1428571428573
1439,2020-12-13,USA,deathsr,2431.285714285714
1440,2020-12-14,USA,deathsr,2451.8571428571427
1441,2020-12-15,USA,deathsr,2481.0
1442,2020-12-16,USA,deathsr,2546.0
1443,2020-12-17,USA,deathsr,2597.0
1444,2020-12-18,USA,deathsr,2584.8571428571427
1445,2020-12-19,USA,deathsr,2628.5714285714284
1446,2020-12-20,USA,deathsr,2638.8571428571427
1447,2020-12-21,USA,deathsr,2679.5714285714284
1448,2020-12-22,USA,deathsr,2710.1428571428573
1449,2020-12-23,USA,deathsr,2681.714285714286
1450,2020-12-24,USA,deathsr,2614.0
1451,2020-12-25,USA,deathsr,2365.285714285714
1452,2020-12-26,USA,deathsr,2234.5714285714284
1453,2020-12-27,USA,deathsr,2206.1428571428573
1454,2020-12-28,USA,deathsr,2197.0
1455,2020-12-29,USA,deathsr,2252.5714285714284
1456,2020-12-30,USA,deathsr,2309.1428571428573
1457,2020-12-31,USA,deathsr,2400.285714285714
1458,2021-01-01,USA,deathsr,2513.285714285714
1459,2021-01-02,USA,deathsr,2617.1428571428573
1460,2021-01-03,USA,deathsr,2634.4285714285716
1461,2021-01-04,USA,deathsr,2655.8571428571427
1462,2021-01-05,USA,deathsr,2664.5714285714284
1463,2021-01-06,USA,deathsr,2686.8571428571427
1464,2021-01-07,USA,deathsr,2779.5714285714284
1465,2021-01-08,USA,deathsr,3061.714285714286
1466,2021-01-09,USA,deathsr,3188.5714285714284
1467,2021-01-10,USA,deathsr,3249.4285714285716
1468,2021-01-11,USA,deathsr,3249.285714285714
1469,2021-01-12,USA,deathsr,3351.714285714286
1470,2021-01-13,USA,deathsr,3346.8571428571427
1471,2021-01-14,USA,deathsr,3328.1428571428573
1472,2021-01-15,USA,deathsr,3307.285714285714
1473,2021-01-16,USA,deathsr,3318.714285714286
1474,2021-01-17,USA,deathsr,3312.0
1475,2021-01-18,USA,deathsr,3225.285714285714
1476,2021-01-19,USA,deathsr,2991.714285714286
1477,2021-01-20,USA,deathsr,3056.0
1478,2021-01-21,USA,deathsr,3078.1428571428573
1479,2021-01-22,USA,deathsr,3075.5714285714284
1480,2021-01-23,USA,deathsr,3072.8571428571427
1481,2021-01-24,USA,deathsr,3085.0
1482,2021-01-25,USA,deathsr,3151.5714285714284
1483,2021-01-26,USA,deathsr,3341.0
1484,2021-01-27,USA,deathsr,3301.4285714285716
1485,2021-01-28,USA,deathsr,3263.285714285714
1486,2021-01-29,USA,deathsr,3244.5714285714284
1487,2021-01-30,USA,deathsr,3147.285714285714
1488,2021-01-31,USA,deathsr,3154.285714285714
1489,2021-02-01,USA,deathsr,3160.4285714285716
1490,2021-02-02,USA,deathsr,3091.0
1491,2021-02-03,USA,deathsr,3053.8571428571427
1492,2021-02-04,USA,deathsr,3232.285714285714
1493,2021-02-05,USA,deathsr,3228.0
1494,2021-02-06,USA,deathsr,3231.0
1495,2021-02-07,USA,deathsr,3150.5714285714284
1496,2021-02-08,USA,deathsr,3098.1428571428573
1497,2021-02-09,USA,deathsr,3035.1428571428573
1498,2021-02-10,USA,deathsr,2951.0
1499,2021-02-11,USA,deathsr,2774.0
1500,2021-02-12,USA,deathsr,3044.4285714285716
1501,2021-02-13,USA,deathsr,3146.0
1502,2021-02-14,USA,deathsr,3114.4285714285716
1503,2021-02-15,USA,deathsr,3030.285714285714
1504,2021-02-16,USA,deathsr,2821.285714285714
1505,2021-02-17,USA,deathsr,2709.4285714285716
1506,2021-02-18,USA,deathsr,2529.714285714286
1507,2021-02-19,USA,deathsr,2124.4285714285716
1508,2021-02-20,USA,deathsr,1904.142857142857
1509,2021-02-21,USA,deathsr,1928.0
1510,2021-02-22,USA,deathsr,1993.7142857142858
1511,2021-02-23,USA,deathsr,2082.4285714285716
0,2020-12-02,NY,hospitalizedCurrentlyr,
1,2020-12-03,NY,hospitalizedCurrentlyr,
2,2020-12-04,NY,hospitalizedCurrentlyr,
3,2020-12-05,NY,hospitalizedCurrentlyr,131.33333333333334
4,2020-12-06,NY,hospitalizedCurrentlyr,126.33333333333333
5,2020-12-07,NY,hospitalizedCurrentlyr,126.66666666666667
6,2020-12-08,NY,hospitalizedCurrentlyr,172.33333333333334
7,2020-12-09,NY,hospitalizedCurrentlyr,183.66666666666666
8,2020-12-10,NY,hospitalizedCurrentlyr,187.33333333333334
9,2020-12-11,NY,hospitalizedCurrentlyr,162.0
10,2020-12-12,NY,hospitalizedCurrentlyr,122.0
11,2020-12-13,NY,hospitalizedCurrentlyr,82.0
12,2020-12-14,NY,hospitalizedCurrentlyr,130.33333333333334
13,2020-12-15,NY,hospitalizedCurrentlyr,207.66666666666666
14,2020-12-16,NY,hospitalizedCurrentlyr,229.0
15,2020-12-17,NY,hospitalizedCurrentlyr,145.0
16,2020-12-18,NY,hospitalizedCurrentlyr,33.0
17,2020-12-19,NY,hospitalizedCurrentlyr,37.0
18,2020-12-20,NY,hospitalizedCurrentlyr,12.666666666666666
19,2020-12-21,NY,hospitalizedCurrentlyr,83.33333333333333
20,2020-12-22,NY,hospitalizedCurrentlyr,151.0
21,2020-12-23,NY,hospitalizedCurrentlyr,226.33333333333334
22,2020-12-24,NY,hospitalizedCurrentlyr,199.0
23,2020-12-25,NY,hospitalizedCurrentlyr,96.33333333333333
24,2020-12-26,NY,hospitalizedCurrentlyr,6.666666666666667
25,2020-12-27,NY,hospitalizedCurrentlyr,85.0
26,2020-12-28,NY,hospitalizedCurrentlyr,203.0
27,2020-12-29,NY,hospitalizedCurrentlyr,310.0
28,2020-12-30,NY,hospitalizedCurrentlyr,236.33333333333334
29,2020-12-31,NY,hospitalizedCurrentlyr,125.33333333333333
30,2021-01-01,NY,hospitalizedCurrentlyr,24.0
31,2021-01-02,NY,hospitalizedCurrentlyr,-26.0
32,2021-01-03,NY,hospitalizedCurrentlyr,9.333333333333334
33,2021-01-04,NY,hospitalizedCurrentlyr,121.66666666666667
34,2021-01-05,NY,hospitalizedCurrentlyr,258.6666666666667
35,2021-01-06,NY,hospitalizedCurrentlyr,234.0
36,2021-01-07,NY,hospitalizedCurrentlyr,99.0
37,2021-01-08,NY,hospitalizedCurrentlyr,-9.666666666666666
38,2021-01-09,NY,hospitalizedCurrentlyr,-46.0
39,2021-01-10,NY,hospitalizedCurrentlyr,-21.333333333333332
40,2021-01-11,NY,hospitalizedCurrentlyr,28.0
41,2021-01-12,NY,hospitalizedCurrentlyr,133.0
42,2021-01-13,NY,hospitalizedCurrentlyr,148.33333333333334
43,2021-01-14,NY,hospitalizedCurrentlyr,59.333333333333336
44,2021-01-15,NY,hospitalizedCurrentlyr,-39.333333333333336
45,2021-01-16,NY,hospitalizedCurrentlyr,-13.666666666666666
46,2021-01-17,NY,hospitalizedCurrentlyr,-17.333333333333332
47,2021-01-18,NY,hospitalizedCurrentlyr,20.0
48,2021-01-19,NY,hospitalizedCurrentlyr,116.0
49,2021-01-20,NY,hospitalizedCurrentlyr,167.33333333333334
50,2021-01-21,NY,hospitalizedCurrentlyr,62.333333333333336
51,2021-01-22,NY,hospitalizedCurrentlyr,-130.0
52,2021-01-23,NY,hospitalizedCurrentlyr,-157.0
53,2021-01-24,NY,hospitalizedCurrentlyr,-147.33333333333334
54,2021-01-25,NY,hospitalizedCurrentlyr,-38.666666666666664
55,2021-01-26,NY,hospitalizedCurrentlyr,9.666666666666666
56,2021-01-27,NY,hospitalizedCurrentlyr,52.666666666666664
57,2021-01-28,NY,hospitalizedCurrentlyr,-70.0
58,2021-01-29,NY,hospitalizedCurrentlyr,-158.0
59,2021-01-30,NY,hospitalizedCurrentlyr,-198.33333333333334
60,2021-01-31,NY,hospitalizedCurrentlyr,-181.33333333333334
61,2021-02-01,NY,hospitalizedCurrentlyr,-118.0
62,2021-02-02,NY,hospitalizedCurrentlyr,-36.333333333333336
63,2021-02-03,NY,hospitalizedCurrentlyr,35.333333333333336
64,2021-02-04,NY,hospitalizedCurrentlyr,-12.0
65,2021-02-05,NY,hospitalizedCurrentlyr,-43.333333333333336
66,2021-02-06,NY,hospitalizedCurrentlyr,-92.66666666666667
67,2021-02-07,NY,hospitalizedCurrentlyr,-106.0
68,2021-02-08,NY,hospitalizedCurrentlyr,-73.66666666666667
69,2021-02-09,NY,hospitalizedCurrentlyr,23.666666666666668
70,2021-02-10,NY,hospitalizedCurrentlyr,-18.666666666666668
71,2021-02-11,NY,hospitalizedCurrentlyr,-124.66666666666667
72,2021-02-12,NY,hospitalizedCurrentlyr,-269.0
73,2021-02-13,NY,hospitalizedCurrentlyr,-235.0
74,2021-02-14,NY,hospitalizedCurrentlyr,-249.66666666666666
75,2021-02-15,NY,hospitalizedCurrentlyr,-148.33333333333334
76,2021-02-16,NY,hospitalizedCurrentlyr,-89.33333333333333
77,2021-02-17,NY,hospitalizedCurrentlyr,-6.333333333333333
78,2021-02-18,NY,hospitalizedCurrentlyr,-63.0
79,2021-02-19,NY,hospitalizedCurrentlyr,-155.0
80,2021-02-20,NY,hospitalizedCurrentlyr,-199.0
81,2021-02-21,NY,hospitalizedCurrentlyr,-223.33333333333334
82,2021-02-22,NY,hospitalizedCurrentlyr,-117.0
83,2021-02-23,NY,hospitalizedCurrentlyr,0.0
84,2021-02-24,NY,hospitalizedCurrentlyr,37.333333333333336
